https://www.CryptoDataDownload.com
id,unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume USD,tradecount
1682168,1607245200,2020-12-06 09:00:00,BTC/USD,19031.6,19092.7,18950.2,19050.0,19029.9,124.34845257,2368838.0214585,687
1682167,1607241600,2020-12-06 08:00:00,BTC/USD,19246.6,19254.5,19021.6,19033.5,19099.0,114.36914455,2176845.112792425,716
1682166,1607238000,2020-12-06 07:00:00,BTC/USD,19194.2,19255.0,19183.1,19239.5,19223.7,19.50755129,375315.533043955,264
1682165,1607234400,2020-12-06 06:00:00,BTC/USD,19177.1,19229.2,19151.2,19195.0,19194.8,53.51335691,1027188.88588745,314
1682164,1607230800,2020-12-06 05:00:00,BTC/USD,19200.7,19214.3,19130.0,19177.7,19157.4,38.63760981,740980.489653237,375
1682163,1607227200,2020-12-06 04:00:00,BTC/USD,19194.2,19232.5,19171.2,19200.8,19197.2,40.20345555,771938.50932444,315
1682162,1607223600,2020-12-06 03:00:00,BTC/USD,19243.1,19243.2,19143.3,19194.8,19186.4,41.48574556,796310.5888750879,479
1682161,1607220000,2020-12-06 02:00:00,BTC/USD,19263.1,19288.1,19222.0,19243.1,19261.3,44.51347352,856577.2222927118,431
1682160,1607216400,2020-12-06 01:00:00,BTC/USD,19285.3,19336.0,19241.8,19263.1,19295.3,199.78441759,3848467.214477929,1162
1682159,1607212800,2020-12-06 00:00:00,BTC/USD,19153.1,19286.7,19143.5,19286.7,19229.7,195.87047236,3777695.039265612,1461
1682158,1607209200,2020-12-05 23:00:00,BTC/USD,19022.7,19161.0,19022.7,19153.0,19100.8,69.12640125,1323977.96314125,643
1682157,1607205600,2020-12-05 22:00:00,BTC/USD,19027.7,19055.2,19001.1,19022.7,19030.6,57.61506009,1095994.003574043,559
1682156,1607202000,2020-12-05 21:00:00,BTC/USD,19050.0,19105.1,19027.6,19027.6,19067.4,53.69572467,1021700.7707308918,616
1682155,1607198400,2020-12-05 20:00:00,BTC/USD,19120.1,19143.1,19027.6,19050.0,19092.5,53.15950479,1012688.5662495,547
1682154,1607194800,2020-12-05 19:00:00,BTC/USD,19125.0,19179.3,19103.6,19120.1,19140.4,104.74137139,2002665.4951139388,629
1682153,1607191200,2020-12-05 18:00:00,BTC/USD,19119.0,19151.4,19105.6,19125.0,19134.7,109.29736183,2090312.04499875,577
1682152,1607187600,2020-12-05 17:00:00,BTC/USD,19103.6,19119.0,19052.7,19117.1,19094.1,73.74856314,1409858.6564036938,538
1682151,1607184000,2020-12-05 16:00:00,BTC/USD,19122.0,19148.7,19069.6,19103.6,19108.4,97.82413191,1868793.086355876,486
1682150,1607180400,2020-12-05 15:00:00,BTC/USD,19093.9,19149.7,19066.4,19122.0,19106.9,97.20650755,1858782.8373711,645
1682149,1607176800,2020-12-05 14:00:00,BTC/USD,18998.0,19097.3,18990.0,19093.1,19045.2,42.80197676,817222.422476356,496
1682148,1607173200,2020-12-05 13:00:00,BTC/USD,19078.9,19080.0,18965.7,18995.7,19000.1,49.22007980,934969.86985686,472
1682147,1607169600,2020-12-05 12:00:00,BTC/USD,19031.7,19084.1,18994.0,19078.9,19040.1,50.38328745,961257.702929805,443
1682146,1607166000,2020-12-05 11:00:00,BTC/USD,19137.7,19137.8,18996.4,19030.4,19039.7,28.21667974,536974.702124096,369
1682145,1607162400,2020-12-05 10:00:00,BTC/USD,19118.4,19145.0,19057.5,19137.6,19096.4,58.51650396,1119865.446184896,495
1682144,1607158800,2020-12-05 09:00:00,BTC/USD,19166.8,19168.7,19082.5,19118.4,19111.8,94.23707713,1801662.1354021921,538
1682143,1607155200,2020-12-05 08:00:00,BTC/USD,18935.1,19175.0,18935.1,19166.1,19106.8,160.88893060,3083613.33277266,946
1682142,1607151600,2020-12-05 07:00:00,BTC/USD,18991.5,19011.0,18921.5,18933.6,18963.5,54.27909149,1027698.6066350639,416
1682141,1607148000,2020-12-05 06:00:00,BTC/USD,18985.7,19043.8,18937.5,18989.2,18979.8,201.94788136,3834828.708721312,721
1682140,1607144400,2020-12-05 05:00:00,BTC/USD,18900.1,18996.5,18873.4,18985.6,18940.1,59.56161344,1130812.968126464,516
1682139,1607140800,2020-12-05 04:00:00,BTC/USD,18846.8,18969.0,18819.3,18910.3,18896.7,179.07290738,3386322.400428014,789
1682138,1607137200,2020-12-05 03:00:00,BTC/USD,18811.7,18886.9,18756.4,18827.9,18831.8,57.77690473,1087817.784565967,597
1682137,1607133600,2020-12-05 02:00:00,BTC/USD,18664.4,18846.0,18664.4,18814.8,18765.5,138.35784662,2603175.212585976,721
1682136,1607130000,2020-12-05 01:00:00,BTC/USD,18799.0,18832.9,18650.0,18659.0,18746.4,134.33027809,2506468.65888131,873
1682135,1607126400,2020-12-05 00:00:00,BTC/USD,18655.0,18799.9,18511.0,18799.0,18638.7,348.36210813,6548859.27073587,2311
1682134,1607122800,2020-12-04 23:00:00,BTC/USD,18673.0,18849.0,18615.2,18665.8,18748.3,448.36771685,8369142.12917873,1936
1682133,1607119200,2020-12-04 22:00:00,BTC/USD,18817.1,18865.8,18561.6,18671.4,18724.1,340.29291355,6353745.10605747,2290
1682132,1607115600,2020-12-04 21:00:00,BTC/USD,18973.2,18998.0,18760.0,18811.5,18865.7,259.79176821,4887072.847682415,1503
1682131,1607112000,2020-12-04 20:00:00,BTC/USD,19055.0,19055.0,18891.3,18978.5,18973.3,203.01184438,3852860.2885658303,1169
1682130,1607108400,2020-12-04 19:00:00,BTC/USD,19071.0,19073.7,19010.4,19055.1,19050.1,121.22145268,2309886.902962668,668
1682129,1607104800,2020-12-04 18:00:00,BTC/USD,18981.3,19075.0,18940.0,19071.1,19010.4,150.68716961,2873770.080349271,754
1682128,1607101200,2020-12-04 17:00:00,BTC/USD,18986.3,19034.9,18959.6,18981.4,18996.8,109.90706569,2086189.9766881661,750
1682127,1607097600,2020-12-04 16:00:00,BTC/USD,18981.3,18991.5,18834.8,18991.5,18902.7,396.73372776,7534568.5907540405,1815
1682126,1607094000,2020-12-04 15:00:00,BTC/USD,19063.2,19086.3,18953.6,18981.3,19007.0,132.58726537,2516678.660167581,858
1682125,1607090400,2020-12-04 14:00:00,BTC/USD,19023.3,19164.5,18950.0,19063.1,19080.5,235.61594074,4491570.239920693,1246
1682124,1607086800,2020-12-04 13:00:00,BTC/USD,19035.0,19039.1,18928.0,19027.2,18984.2,246.92972776,4698381.316035072,1031
1682123,1607083200,2020-12-04 12:00:00,BTC/USD,18845.8,19053.7,18703.1,19035.0,18863.7,616.83878215,11741526.21822525,2579
1682122,1607079600,2020-12-04 11:00:00,BTC/USD,19013.5,19092.1,18800.0,18859.7,18951.5,377.32246292,7116188.453932324,1977
1682121,1607076000,2020-12-04 10:00:00,BTC/USD,19385.0,19385.0,18901.1,19013.5,19053.3,753.86411792,14333595.40607192,3742
1682120,1607072400,2020-12-04 09:00:00,BTC/USD,19411.9,19422.0,19338.0,19385.1,19377.2,94.27625327,1827554.5972642768,658
1682119,1607068800,2020-12-04 08:00:00,BTC/USD,19311.0,19465.3,19311.0,19410.0,19412.8,105.05424071,2039102.8121811,936
1682118,1607065200,2020-12-04 07:00:00,BTC/USD,19330.2,19347.8,19260.4,19322.1,19303.4,193.91696019,3746882.896487199,802
1682117,1607061600,2020-12-04 06:00:00,BTC/USD,19214.3,19373.0,19214.3,19325.5,19299.9,85.33209603,1649085.421827765,575
1682116,1607058000,2020-12-04 05:00:00,BTC/USD,19309.9,19327.5,19214.2,19214.2,19299.3,49.91043509,958989.081906278,533
1682115,1607054400,2020-12-04 04:00:00,BTC/USD,19170.5,19337.6,19150.0,19312.1,19267.6,162.46944912,3137626.248350352,824
1682114,1607050800,2020-12-04 03:00:00,BTC/USD,19266.6,19330.2,19155.0,19181.2,19244.1,293.77138874,5634887.761699689,1418
1682113,1607047200,2020-12-04 02:00:00,BTC/USD,19338.7,19386.7,19266.6,19266.6,19307.4,191.45966809,3688776.841222794,1048
1682112,1607043600,2020-12-04 01:00:00,BTC/USD,19485.0,19506.1,19332.2,19342.1,19387.0,112.35708371,2173221.948827191,959
1682111,1607040000,2020-12-04 00:00:00,BTC/USD,19440.7,19536.1,19400.7,19484.0,19476.5,152.39745030,2969311.9216452,1442
1682110,1607036400,2020-12-03 23:00:00,BTC/USD,19489.4,19555.0,19435.1,19451.3,19503.4,227.54730292,4426090.853287796,1500
1682109,1607032800,2020-12-03 22:00:00,BTC/USD,19460.3,19497.8,19437.0,19481.9,19468.6,175.45267742,3418151.516228698,991
1682108,1607029200,2020-12-03 21:00:00,BTC/USD,19378.0,19484.3,19351.1,19460.1,19440.6,205.25654193,3994312.831611993,1160
1682107,1607025600,2020-12-03 20:00:00,BTC/USD,19436.9,19450.0,19321.9,19375.4,19403.7,208.16101504,4033202.930806016,1113
1682106,1607022000,2020-12-03 19:00:00,BTC/USD,19381.2,19439.8,19365.0,19436.9,19401.3,116.77540282,2269751.827072058,768
1682105,1607018400,2020-12-03 18:00:00,BTC/USD,19309.0,19400.0,19308.9,19381.2,19361.2,199.09110344,3858624.4939913284,862
1682104,1607014800,2020-12-03 17:00:00,BTC/USD,19380.3,19393.9,19203.9,19307.5,19287.1,248.85777945,4804821.576730875,1302
1682103,1607011200,2020-12-03 16:00:00,BTC/USD,19552.0,19600.0,19280.0,19379.0,19424.5,627.50301323,12160380.89338417,2649
1682102,1607007600,2020-12-03 15:00:00,BTC/USD,19368.6,19550.7,19330.2,19549.5,19451.6,305.72452972,5976761.69376114,1604
1682101,1607004000,2020-12-03 14:00:00,BTC/USD,19297.5,19403.3,19297.5,19367.4,19361.4,178.56698030,3458378.1342622205,870
1682100,1607000400,2020-12-03 13:00:00,BTC/USD,19344.3,19393.6,19275.6,19300.0,19347.2,176.68370384,3409995.4841119996,811
1682099,1606996800,2020-12-03 12:00:00,BTC/USD,19407.5,19429.5,19255.8,19344.3,19314.9,208.98966219,4042758.722302017,1074
1682098,1606993200,2020-12-03 11:00:00,BTC/USD,19369.4,19462.0,19305.2,19403.3,19384.8,127.44446099,2472843.109927267,882
1682097,1606989600,2020-12-03 10:00:00,BTC/USD,19371.9,19433.2,19251.1,19369.1,19354.4,145.21587142,2812700.735121122,907
1682096,1606986000,2020-12-03 09:00:00,BTC/USD,19395.0,19434.4,19129.2,19373.1,19268.9,262.80893228,5091423.725953668,1471
1682095,1606982400,2020-12-03 08:00:00,BTC/USD,19214.3,19458.5,19171.3,19395.5,19374.6,411.24231292,7976250.2802398605,1981
1682094,1606978800,2020-12-03 07:00:00,BTC/USD,18973.6,19249.9,18940.1,19212.3,19173.0,193.52536015,3718067.276809845,975
1682093,1606975200,2020-12-03 06:00:00,BTC/USD,18937.0,19017.7,18904.9,18967.0,18972.1,89.38286732,1695324.84445844,468
1682092,1606971600,2020-12-03 05:00:00,BTC/USD,19060.9,19124.0,18851.9,18941.6,18986.3,255.76406467,4844580.607353272,1004
1682091,1606968000,2020-12-03 04:00:00,BTC/USD,19105.2,19136.7,19035.7,19060.9,19081.4,129.17728280,2462235.2697225204,577
1682090,1606964400,2020-12-03 03:00:00,BTC/USD,19058.7,19188.7,19035.4,19111.5,19142.2,112.36712311,2147504.2733167647,716
1682089,1606960800,2020-12-03 02:00:00,BTC/USD,19029.8,19108.5,18961.1,19059.7,19052.0,114.08100598,2174349.749677006,762
1682088,1606957200,2020-12-03 01:00:00,BTC/USD,19195.1,19199.0,18964.4,19027.0,19102.0,223.33696756,4249432.48176412,1333
1682087,1606953600,2020-12-03 00:00:00,BTC/USD,19219.3,19300.0,19180.0,19195.1,19241.8,102.77230312,1972724.6356187118,770
1682086,1606950000,2020-12-02 23:00:00,BTC/USD,19122.1,19270.0,19104.6,19231.4,19205.2,179.89394486,3459612.4111806042,1076
1682085,1606946400,2020-12-02 22:00:00,BTC/USD,19152.5,19238.1,19105.1,19124.7,19198.5,236.21650275,4517569.750142925,1268
1682084,1606942800,2020-12-02 21:00:00,BTC/USD,19101.1,19169.7,19065.2,19152.4,19101.3,111.65164925,2138397.0470957,874
1682083,1606939200,2020-12-02 20:00:00,BTC/USD,19122.7,19150.0,19065.5,19107.3,19111.0,178.40840848,3408902.9833499035,1052
1682082,1606935600,2020-12-02 19:00:00,BTC/USD,19022.2,19136.1,18981.2,19122.7,19085.9,276.90388001,5295149.8262672275,1422
1682081,1606932000,2020-12-02 18:00:00,BTC/USD,18986.3,19074.4,18969.0,19022.2,19037.6,215.80059634,4105002.103698748,1338
1682080,1606928400,2020-12-02 17:00:00,BTC/USD,18857.1,18999.8,18816.1,18986.4,18929.0,168.48875108,3198994.823505312,985
1682079,1606924800,2020-12-02 16:00:00,BTC/USD,18899.1,19019.9,18795.5,18859.2,18908.3,613.52320289,11570556.787943088,1755
1682078,1606921200,2020-12-02 15:00:00,BTC/USD,18930.0,19000.0,18750.0,18887.5,18877.1,427.67741485,8077757.172979374,1905
1682077,1606917600,2020-12-02 14:00:00,BTC/USD,19130.1,19160.0,18856.5,18930.1,18991.9,303.72149094,5749478.195643294,1441
1682076,1606914000,2020-12-02 13:00:00,BTC/USD,18954.0,19269.4,18933.1,19130.0,19167.2,240.18409090,4594721.658917,1460
1682075,1606910400,2020-12-02 12:00:00,BTC/USD,19151.0,19151.0,18805.0,18953.2,18914.8,409.34303649,7758360.439202268,1754
1682074,1606906800,2020-12-02 11:00:00,BTC/USD,19105.1,19188.9,19050.0,19151.0,19133.2,143.61580404,2750386.26317004,738
1682073,1606903200,2020-12-02 10:00:00,BTC/USD,19037.0,19188.7,18989.3,19105.0,19095.6,123.77306618,2364684.4293689,814
1682072,1606899600,2020-12-02 09:00:00,BTC/USD,19199.9,19311.7,19036.9,19036.9,19187.9,195.14983603,3715047.9135195073,1034
1682071,1606896000,2020-12-02 08:00:00,BTC/USD,19125.7,19350.0,19066.9,19199.9,19239.2,416.06855743,7988474.695800258,1891
1682070,1606892400,2020-12-02 07:00:00,BTC/USD,18947.3,19125.0,18850.0,19125.0,18969.6,216.70112292,4144408.975845,1205
1682069,1606888800,2020-12-02 06:00:00,BTC/USD,18664.6,18955.0,18639.4,18933.6,18782.2,383.47387234,7260540.909336624,1487
1682068,1606885200,2020-12-02 05:00:00,BTC/USD,18560.0,18674.3,18471.5,18663.9,18565.3,263.23279275,4912950.5206067255,1181
1682067,1606881600,2020-12-02 04:00:00,BTC/USD,18612.3,18700.0,18347.1,18556.0,18470.9,428.24199122,7946458.38907832,2273
1682066,1606878000,2020-12-02 03:00:00,BTC/USD,18689.2,18794.1,18516.9,18607.2,18619.5,307.45606208,5720896.438334976,1525
1682065,1606874400,2020-12-02 02:00:00,BTC/USD,18863.0,18863.0,18673.5,18689.9,18781.5,215.81200623,4033504.8152380777,1068
1682064,1606870800,2020-12-02 01:00:00,BTC/USD,18829.5,18963.3,18715.7,18864.8,18839.1,135.50192119,2556216.6428651116,946
1682063,1606867200,2020-12-02 00:00:00,BTC/USD,18777.0,18890.1,18450.8,18829.4,18680.4,609.71853294,11480634.144140437,2689
1682062,1606863600,2020-12-01 23:00:00,BTC/USD,18932.5,18953.0,18743.2,18782.9,18822.3,353.54210642,6640546.030676218,1463
1682061,1606860000,2020-12-01 22:00:00,BTC/USD,19050.0,19169.1,18846.9,18915.4,19024.6,233.19534805,4410983.286504971,1380
1682060,1606856400,2020-12-01 21:00:00,BTC/USD,19023.1,19226.9,18954.8,19052.1,19107.5,273.08918116,5202922.388378436,1299
1682059,1606852800,2020-12-01 20:00:00,BTC/USD,19087.6,19156.9,18875.9,19022.9,18989.6,345.53192608,6573019.276627232,1355
1682058,1606849200,2020-12-01 19:00:00,BTC/USD,18743.6,19139.3,18743.5,19087.4,18970.8,571.44024714,10907308.573260037,2091
1682057,1606845600,2020-12-01 18:00:00,BTC/USD,19062.0,19062.0,18707.5,18736.9,18888.6,341.52882996,6399191.534077524,1932
1682056,1606842000,2020-12-01 17:00:00,BTC/USD,19043.6,19082.2,18612.2,19064.7,18882.8,849.33363368,16192290.926019097,3440
1682055,1606838400,2020-12-01 16:00:00,BTC/USD,19290.0,19330.6,18913.5,19043.5,19083.7,839.14137027,15980188.684736745,2803
1682054,1606834800,2020-12-01 15:00:00,BTC/USD,19298.5,19499.2,19168.6,19289.9,19357.8,583.29582112,11251718.05982269,2811
1682053,1606831200,2020-12-01 14:00:00,BTC/USD,18796.0,19396.9,18690.0,19295.2,19118.3,755.36640840,14574945.923359679,3161
1682052,1606827600,2020-12-01 13:00:00,BTC/USD,18568.7,18879.3,18111.0,18795.8,18522.2,1135.48247206,21342301.44834535,5833
1682051,1606824000,2020-12-01 12:00:00,BTC/USD,19431.1,19490.1,18450.0,18615.0,18897.6,2050.79916206,38175626.4017469,9224
1682050,1606820400,2020-12-01 11:00:00,BTC/USD,19762.9,19947.5,19095.0,19401.5,19546.7,1604.73512946,31134268.61421819,7096
1682049,1606816800,2020-12-01 10:00:00,BTC/USD,19575.3,19830.0,19575.3,19761.3,19743.4,657.25383712,12988190.251479454,2413
1682048,1606813200,2020-12-01 09:00:00,BTC/USD,19468.5,19571.1,19445.0,19571.1,19508.1,101.36819380,1983887.0576791798,616
1682047,1606809600,2020-12-01 08:00:00,BTC/USD,19520.9,19575.3,19456.0,19467.8,19513.6,161.95419968,3152891.968530304,1047
1682046,1606806000,2020-12-01 07:00:00,BTC/USD,19347.3,19545.0,19321.3,19524.7,19458.6,103.19102962,2014773.896021614,752
1682045,1606802400,2020-12-01 06:00:00,BTC/USD,19479.6,19525.4,19338.0,19349.7,19423.1,139.61689437,2701545.0209911894,764
1682044,1606798800,2020-12-01 05:00:00,BTC/USD,19364.7,19508.0,19300.0,19479.6,19401.9,130.64946119,2544999.244196724,938
1682043,1606795200,2020-12-01 04:00:00,BTC/USD,19424.6,19539.0,19363.7,19364.8,19454.4,157.19607953,3044070.6408825438,1103
1682042,1606791600,2020-12-01 03:00:00,BTC/USD,19682.5,19682.5,19339.6,19424.6,19530.5,338.09002629,6567263.524672734,1510
1682041,1606788000,2020-12-01 02:00:00,BTC/USD,19616.4,19700.0,19563.5,19688.3,19639.6,121.03526123,2382978.533674609,885
1682040,1606784400,2020-12-01 01:00:00,BTC/USD,19592.1,19645.5,19436.0,19616.5,19538.1,237.59917954,4660864.30544641,1394
