https://www.CryptoDataDownload.com
id,unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume USD,tradecount
501435,1607385600,2020-12-08 00:00:00,BTC/USD,19182.5,19198.9,19149.0,19163.4,19165.3,31.62454788,606033.8608435921,274
501434,1607299200,2020-12-07 00:00:00,BTC/USD,19385.0,19440.0,18900.0,19178.6,19151.6,3138.36481260,60189443.394930355,18286
501433,1607212800,2020-12-06 00:00:00,BTC/USD,19153.1,19437.0,18857.8,19392.9,19178.0,2717.60065321,52702157.707636215,17230
501432,1607126400,2020-12-05 00:00:00,BTC/USD,18655.0,19179.3,18511.0,19153.0,18950.7,2374.36779330,45476266.3450749,15943
501431,1607040000,2020-12-04 00:00:00,BTC/USD,19440.7,19536.1,18561.6,18665.8,19024.7,5834.11698084,108898460.74096327,31513
501430,1606953600,2020-12-03 00:00:00,BTC/USD,19219.3,19600.0,18851.9,19451.3,19315.2,5045.72826462,98145974.19360301,26550
501429,1606867200,2020-12-02 00:00:00,BTC/USD,18777.0,19350.0,18347.1,19231.4,18909.4,6800.55853419,130784261.39442156,33181
501428,1606780800,2020-12-01 00:00:00,BTC/USD,19706.5,19947.5,18111.0,18782.9,19153.6,12790.05335884,240234293.23375586,57759
501427,1606694400,2020-11-30 00:00:00,BTC/USD,18195.6,19850.0,16660.0,19708.1,19134.8,13486.01802720,265783791.8818603,60924
501426,1606608000,2020-11-29 00:00:00,BTC/USD,17731.6,18356.1,17525.0,18194.2,18020.2,5284.40097885,96145448.28939267,24202
501425,1606521600,2020-11-28 00:00:00,BTC/USD,17146.0,17890.0,16871.1,17732.9,17481.9,5037.34622355,89326756.8475898,24962
501424,1606435200,2020-11-27 00:00:00,BTC/USD,17165.0,17460.0,16450.8,17144.2,16937.1,5962.04838793,102214549.97234951,32538
501423,1606348800,2020-11-26 00:00:00,BTC/USD,18725.9,18900.0,16210.0,17164.6,17255.2,18298.68923292,314089681.2073786,91267
501422,1606262400,2020-11-25 00:00:00,BTC/USD,19169.6,19509.3,18425.1,18723.4,18995.4,6923.70078677,129635219.31100944,38695
501421,1606176000,2020-11-24 00:00:00,BTC/USD,18380.2,19448.0,18069.7,19173.8,18932.5,9038.29612050,173298482.1552429,53693
501420,1606089600,2020-11-23 00:00:00,BTC/USD,18433.7,18780.0,18005.0,18387.8,18424.6,6160.78140739,113283216.36280584,31294
501419,1606003200,2020-11-22 00:00:00,BTC/USD,18708.7,18764.9,17620.0,18450.2,18317.6,6457.67189893,119145338.06963828,31144
501418,1605916800,2020-11-21 00:00:00,BTC/USD,18673.6,18977.5,18333.0,18708.7,18713.9,4874.53549384,91196222.19360441,25441
501417,1605830400,2020-11-20 00:00:00,BTC/USD,17827.4,18824.0,17780.0,18680.2,18412.5,6868.25970170,128300464.87969634,33716
501416,1605744000,2020-11-19 00:00:00,BTC/USD,17800.0,18200.0,17369.0,17828.2,17864.3,6833.90109047,121836155.42111726,31933
501415,1605657600,2020-11-18 00:00:00,BTC/USD,17680.0,18495.0,17200.0,17800.0,17873.5,13809.84372874,245815218.371572,59887
501414,1605571200,2020-11-17 00:00:00,BTC/USD,16723.8,17876.1,16569.5,17684.8,17304.4,10140.27825534,179328792.89003682,42560
501413,1605484800,2020-11-16 00:00:00,BTC/USD,15966.8,16892.9,15884.3,16721.1,16520.5,6629.53381631,110853097.89590113,30395
501412,1605398400,2020-11-15 00:00:00,BTC/USD,16086.5,16170.5,15801.0,15962.3,15968.0,2083.20526402,33252747.385866445,12207
501411,1605312000,2020-11-14 00:00:00,BTC/USD,16343.3,16343.4,15735.0,16080.1,15980.0,3713.34899327,59711023.14668093,19483
501410,1605225600,2020-11-13 00:00:00,BTC/USD,16308.6,16489.4,15980.6,16343.4,16275.5,6047.97099830,98844409.21361622,27495
501409,1605139200,2020-11-12 00:00:00,BTC/USD,15708.6,16345.0,15425.3,16307.8,15994.1,9541.89852023,155607372.68820676,39087
501408,1605052800,2020-11-11 00:00:00,BTC/USD,15319.0,15990.0,15300.0,15708.7,15675.8,6372.85620441,100109286.25821537,27051
501407,1604966400,2020-11-10 00:00:00,BTC/USD,15339.1,15474.9,15100.0,15316.7,15301.0,3736.89301767,57236869.28374609,16500
501406,1604880000,2020-11-09 00:00:00,BTC/USD,15480.0,15843.3,14824.7,15322.9,15321.0,7504.18058973,114985808.75837381,32794
501405,1604793600,2020-11-08 00:00:00,BTC/USD,14837.4,15650.0,14726.6,15480.1,15262.5,4503.79086731,69719133.00504553,21957
501404,1604707200,2020-11-07 00:00:00,BTC/USD,15602.8,15769.9,14365.0,14837.3,15030.6,7646.39947038,113451922.86186917,40207
501403,1604620800,2020-11-06 00:00:00,BTC/USD,15610.3,15967.0,15177.0,15599.2,15586.6,9645.32707811,150459386.15685353,43154
501402,1604534400,2020-11-05 00:00:00,BTC/USD,14165.7,15782.3,14120.1,15610.4,14928.2,13893.35310348,216880799.28656417,51840
501401,1604448000,2020-11-04 00:00:00,BTC/USD,14028.8,14266.4,13540.7,14163.3,13952.2,7484.67922848,106007757.31673078,27775
501400,1604361600,2020-11-03 00:00:00,BTC/USD,13568.3,14062.8,13305.0,14021.8,13690.5,5039.10250174,70657287.45889792,20569
501399,1604275200,2020-11-02 00:00:00,BTC/USD,13762.6,13840.0,13218.3,13565.8,13541.0,5151.11685948,69879021.09233378,19179
501398,1604188800,2020-11-01 00:00:00,BTC/USD,13799.0,13900.6,13634.6,13762.5,13760.0,2302.11145634,31682808.917879254,10406
501397,1604102400,2020-10-31 00:00:00,BTC/USD,13567.0,14080.0,13425.5,13809.1,13790.4,5282.11155202,72941206.63299939,21699
501396,1604016000,2020-10-30 00:00:00,BTC/USD,13462.1,13684.9,13131.0,13567.0,13410.3,6467.91601097,87750216.52082999,21764
501395,1603929600,2020-10-29 00:00:00,BTC/USD,13288.0,13644.0,12975.0,13463.1,13349.2,5549.85025094,74718188.9134303,21909
501394,1603843200,2020-10-28 00:00:00,BTC/USD,13649.1,13851.6,12900.0,13289.5,13383.0,8264.04057366,109824967.20365457,29643
501393,1603756800,2020-10-27 00:00:00,BTC/USD,13080.0,13794.8,13064.0,13649.6,13487.3,7598.84407927,103721182.1444038,26506
501392,1603670400,2020-10-26 00:00:00,BTC/USD,13039.8,13243.6,12801.0,13080.0,13038.8,4628.57769014,60541796.1870312,17227
501391,1603584000,2020-10-25 00:00:00,BTC/USD,13130.9,13351.0,12833.0,13039.2,13080.1,3508.36779755,45746309.38581396,12947
501390,1603497600,2020-10-24 00:00:00,BTC/USD,12939.0,13172.3,12890.7,13130.9,13041.5,1813.58698169,23814029.297873218,8277
501389,1603411200,2020-10-23 00:00:00,BTC/USD,12985.4,13032.8,12735.0,12939.0,12911.7,3897.16955007,50425476.80835573,16226
501388,1603324800,2020-10-22 00:00:00,BTC/USD,13124.6,13199.0,12943.6,12984.1,13069.4,973.12908360,12635205.33437076,3938
501387,1603238400,2020-10-21 00:00:00,BTC/USD,11926.7,13241.4,11905.7,12813.0,12603.2,11497.59347437,147318665.18710282,38325
501386,1603152000,2020-10-20 00:00:00,BTC/USD,11757.0,12070.0,11678.8,11925.4,11889.5,5301.91244632,63227426.68734452,17619
501385,1603065600,2020-10-19 00:00:00,BTC/USD,11508.8,11838.3,11416.6,11757.0,11653.6,4364.70701426,51315860.36665481,14334
501384,1602979200,2020-10-18 00:00:00,BTC/USD,11364.0,11515.1,11355.7,11508.9,11443.4,1062.87912435,12232569.554231714,5240
501383,1602892800,2020-10-17 00:00:00,BTC/USD,11327.0,11411.8,11254.6,11363.9,11335.3,1155.95428631,13136148.914198209,5034
501382,1602806400,2020-10-16 00:00:00,BTC/USD,11501.0,11549.0,11207.0,11326.9,11349.5,3689.18449699,41787023.87895603,13455
501381,1602720000,2020-10-15 00:00:00,BTC/USD,11433.2,11628.0,11255.3,11501.0,11431.3,3310.60603618,38075280.02210618,12138
501380,1602633600,2020-10-14 00:00:00,BTC/USD,11428.9,11555.0,11300.0,11433.1,11409.1,2817.85908619,32216864.71831889,10656
501379,1602547200,2020-10-13 00:00:00,BTC/USD,11534.6,11560.0,11315.0,11428.6,11432.8,3464.47542678,39594103.86249791,12311
501378,1602460800,2020-10-12 00:00:00,BTC/USD,11376.6,11725.9,11202.9,11535.8,11486.4,4883.07187989,56330140.592035055,15877
501377,1602374400,2020-10-11 00:00:00,BTC/USD,11299.4,11443.9,11262.0,11376.6,11360.0,2180.88632597,24811071.376030304,7814
501376,1602288000,2020-10-10 00:00:00,BTC/USD,11060.1,11499.0,11060.1,11301.5,11328.7,3960.95890077,44764777.01705216,13839
501375,1602201600,2020-10-09 00:00:00,BTC/USD,10931.9,11110.6,10842.0,11060.2,11018.8,3237.00773051,35801952.9009867,13030
501374,1602115200,2020-10-08 00:00:00,BTC/USD,10670.0,10969.6,10540.0,10934.1,10811.9,4228.06693828,46230106.709847346,14399
501373,1602028800,2020-10-07 00:00:00,BTC/USD,10605.0,10676.6,10552.6,10669.9,10626.5,2177.50587476,23233769.933101725,9062
501372,1601942400,2020-10-06 00:00:00,BTC/USD,10799.0,10803.6,10527.0,10605.4,10674.9,3347.54265930,35502028.918940224,12055
